user_genome	classification
C_P19_bin.8	Bacteria;Bacillota;Negativicutes;Veillonellales;Megasphaeraceae;Caecibacter;Caecibacter massiliensis
C_P20_bin.11	Bacteria;Bacillota;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister sp000434475
C_P20_bin.13	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;CAG-194;CAG-194 sp000432915
C_P20_bin.15	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella timonensis
C_P20_bin.19	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
C_P20_bin.21	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcoides;Ruminococcoides intestinale
C_P20_bin.22	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000433975
C_P20_bin.23	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
C_P20_bin.25	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;F23-B02;F23-B02 sp001916715
C_P20_bin.3	Bacteria;Bacillota;Clostridia;Christensenellales;CAG-138;SFEL01;SFEL01 sp004557245
C_P20_bin.4	Bacteria;Bacillota;Clostridia;Christensenellales;CAG-138;PeH17;PeH17 sp000435055
C_P20_bin.6	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000434975
C_P20_bin.7	Bacteria;Bacillota;Clostridia;Oscillospirales;Oscillospiraceae;Vescimonas;Vescimonas sp000435975
C_P21_bin.1	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-177;CAG-177 sp003514385
C_P21_bin.10	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium hattorii
C_P21_bin.11	Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium_A;Phascolarctobacterium_A succinatutens_B
C_P21_bin.13	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_D;Campylobacter_D sp900539255
C_P21_bin.5	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp002299635
C_P21_bin.6	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp945863825
C_P21_bin.8	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella sp000436035
C_P22_bin.3	Bacteria;Bacillota;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium hattorii
C_P23_bin.1	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Otoolea;Otoolea fessa
C_P23_bin.10	Bacteria;Bacillota;Clostridia;Oscillospirales;Acutalibacteraceae;Eubacterium_R;Eubacterium_R sp000434995
C_P23_bin.11	Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis
